kingdom	phylum	ERR977403	ERR977404	ERR977405	ERR977406	ERR977407	ERR977408	ERR977409	ERR977410	ERR977411	ERR977412	ERR977413	ERR977414	ERR977415	ERR977416	ERR977417	ERR977418	ERR977419	ERR977420	ERR977421	ERR977422	ERR977423	ERR977424	ERR977425
Bacteria	OD1	0	0	0	0	2	0	2	17	12	14	18	4	4	5	195	216	219	71	64	88	18	37	832
Bacteria	OP11	0	0	0	0	0	0	3	12	9	19	12	10	18	9	40	27	25	40	53	50	7	47	327
Bacteria	OP3	0	0	0	0	0	0	0	0	6	10	6	3	5	2	40	57	57	80	57	75	3	5	92
Bacteria	OP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0
Bacteria	OP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	1
Bacteria	PAUC34f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	0	0	0	0	0	1
Bacteria	Planctomycetes	99	111	166	71	26	10	71	24	117	109	109	252	201	233	305	323	293	150	149	120	192	339	343
Bacteria	Proteobacteria	1211	1431	2867	1929	181	138	604	273	1403	1389	1342	1875	1923	1965	4473	4407	4452	28637	29105	28177	2042	2676	14077
Bacteria	SAR406	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Bacteria	SR1	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	3	3	42
Bacteria	Spirochaetes	0	0	0	0	1	1	0	3	12	19	12	6	5	10	21	14	27	11	10	5	3	18	82
Bacteria	Synergistetes	0	0	0	0	0	0	1	0	2	2	2	5	0	3	0	0	1	0	0	0	0	3	4
Bacteria	TM6	0	0	0	0	0	0	0	1	0	2	0	1	1	0	1	5	3	11	0	1	1	7	80
Bacteria	TM7	0	0	0	0	0	1	1	11	12	16	12	22	19	11	15	15	8	22	30	28	34	68	356
Bacteria	TPD-58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	1	1	0	0
Bacteria	Tenericutes	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	12	9	21	2	2	15
Bacteria	Thermi	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	1
Bacteria	Thermotogae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Unassigned	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	3	5	7
Bacteria	Verrucomicrobia	0	0	0	0	8	5	11	9	42	34	35	31	22	33	196	228	207	138	150	130	85	131	365
Bacteria	WPS-2	0	0	0	0	2	0	5	1	1	1	2	3	0	1	0	1	2	2	1	2	5	8	14
Bacteria	WS1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Bacteria	WS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0
Bacteria	WS3	0	0	0	0	0	0	4	1	5	9	6	14	5	9	49	46	51	44	45	63	5	6	17
Bacteria	WS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
Bacteria	WS5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	WS6	0	0	0	0	0	0	1	2	3	2	2	0	0	0	0	0	0	0	0	0	0	4	7
Unassigned	Unassigned	757	727	1369	837	253	243	1169	1015	1313	1420	1391	1980	2046	2024	4376	4377	4288	7352	7431	7390	1883	3122	9986
