sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material
ERS1426842,wastewater metagenome,SAMEA4527663,"Ankara, Turkey",39.933,32.859,Turkey,,,
ERS1426843,wastewater metagenome,SAMEA4527664,"Moshi, Tanzania",3.343,37.329,Tanzania,,,
ERS1426844,wastewater metagenome,SAMEA4527665,"Atlanta, GA, USA",33.749,84.388,USA,,,
ERS1426845,wastewater metagenome,SAMEA4527666,"Seattle,WA, USA",47.606,122.332,USA,,,
ERS1426846,wastewater metagenome,SAMEA4527667,"Chicago, IL, USA",41.878,87.629,USA,,,
ERS1426847,wastewater metagenome,SAMEA4527668,"Portland,OR, USA",37.09,95.712,USA,,,
ERS1426848,wastewater metagenome,SAMEA4527669,"El Paso, TX, USA",31.761,106.485,USA,,,
ERS1426849,wastewater metagenome,SAMEA4527670,"El Paso, TX, USA",31.761,106.485,USA,,,
ERS1426850,wastewater metagenome,SAMEA4527671,"El Paso, TX, USA",31.761,106.485,USA,,,
ERS1426851,wastewater metagenome,SAMEA4527672,"El Paso, TX, USA",31.761,106.485,USA,,,
ERS1426852,wastewater metagenome,SAMEA4527673,"South Adams County, CO, USA",39.887,104.828,USA,,,
ERS1426853,wastewater metagenome,SAMEA4527674,"Boulder, CO, USA",40.015,105.27,USA,,,
ERS1426854,wastewater metagenome,SAMEA4527675,"Ho Chi Minh, Vietnam",10.823,106.629,Viet Nam,,,
ERS1426855,wastewater metagenome,SAMEA4527676,"Pristina, Kosovo",42.662,42.662,Kosovo,,,
ERS1426856,wastewater metagenome,SAMEA4527677,"Johannesburg, South Africa",26.204,28.047,South Africa,,,
ERS1426857,wastewater metagenome,SAMEA4527678,"Lusaka, Zambia",15.387,28.322,Zambia,,,
ERS1426858,wastewater metagenome,SAMEA4527679,"Kitwe, Zambia",12.823,28.217,Zambia,,,
