sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids,study_id
ERS2520869,AUS-18a_2,SAMEA4700700,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-37.9768,144.6383,,,,,ERZ3455806,MGYS00005846
ERS2520876,AUT-70_3,SAMEA4700707,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",48.174,16.4632,,,,,ERZ3455810,MGYS00005846
ERS2520883,BRA-53_2,SAMEA4700714,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-19.8957,-43.8791,,,,,ERZ3455811,MGYS00005846
ERS2520897,CAN-22a_4,SAMEA4700728,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",51.0131,-114.0246,,,,,ERZ3455821,MGYS00005846
ERS2520907,CHE-67_2,SAMEA4700738,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",46.9722,7.4285,,,,,ERZ3455827,MGYS00005846
ERS2520901,CAN-22b_3,SAMEA4700732,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",43.6336,-79.4794,,,,,ERZ3455830,MGYS00005846
ERS2520891,BWA-19,SAMEA4700722,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-24.6119,25.9647,,,,,ERZ3455834,MGYS00005846
ERS2520910,CHE-67_5,SAMEA4700741,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",46.9722,7.4285,,,,,ERZ3455837,MGYS00005846
ERS2520919,CZE-23_2,SAMEA4700750,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",50.1138,14.4001,,,,,ERZ3455842,MGYS00005846
ERS2520872,AUS-18a,SAMEA4700703,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-37.9768,144.6383,,,,,ERZ3455796,MGYS00005846
ERS2520867,AUS-18_4,SAMEA4700698,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-35.2464,148.9698,,,,,ERZ3455800,MGYS00005846
ERS2520881,BGR-66,SAMEA4700712,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",42.7507,23.3648,,,,,ERZ3455816,MGYS00005846
ERS2520894,CAN-22a_1,SAMEA4700725,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",51.0131,-114.0246,,,,,ERZ3455817,MGYS00005846
ERS2520899,CAN-22b_1,SAMEA4700730,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",43.6336,-79.4794,,,,,ERZ3455824,MGYS00005846
ERS2520890,BWA-19_3,SAMEA4700721,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-24.6119,25.9647,,,,,ERZ3455832,MGYS00005846
ERS2520911,CHE-67_6,SAMEA4700742,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",46.9722,7.4285,,,,,ERZ3455839,MGYS00005846
ERS2520929,ECU-14a_1,SAMEA4700760,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-0.9079,-89.603,,,,,ERZ3455849,MGYS00005846
ERS2520939,FIN-25_1,SAMEA4700770,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",60.2254,24.994,,,,,ERZ3455855,MGYS00005846
ERS2520942,GEO-59_1,SAMEA4700773,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.8704,45.2696,,,,,ERZ3455863,MGYS00005846
ERS2520951,HRV-68_4,SAMEA4700782,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",45.7876,16.0792,,,,,ERZ3455867,MGYS00005846
ERS2520874,AUT-70_1,SAMEA4700705,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",48.174,16.4632,,,,,ERZ3455803,MGYS00005846
ERS2520878,BGR-66_1,SAMEA4700709,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",42.7507,23.3648,,,,,ERZ3455809,MGYS00005846
ERS2520903,CAN-22b,SAMEA4700734,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",43.6336,-79.4794,,,,,ERZ3455831,MGYS00005846
ERS2520933,ESP-75_2,SAMEA4700764,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.4098,2.2228,,,,,ERZ3455859,MGYS00005846
ERS2520978,LVA-31_1,SAMEA4700809,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",56.9777,24.0807,,,,,ERZ3455884,MGYS00005846
ERS2520861,ALB-17_1,SAMEA4700692,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.3404,19.7716,,,,,ERZ3455797,MGYS00005846
ERS2520889,BWA-19_2,SAMEA4700720,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-24.6119,25.9647,,,,,ERZ3455815,MGYS00005846
ERS2520905,CAN-22,SAMEA4700736,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",50.4708,-104.7444,,,,,ERZ3455825,MGYS00005846
ERS2520949,HRV-68_2,SAMEA4700780,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",45.7876,16.0792,,,,,ERZ3455862,MGYS00005846
ERS2520960,IRN-12_1,SAMEA4700791,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",35.5679,51.4393,,,,,ERZ3455876,MGYS00005846
ERS2520979,LVA-31_2,SAMEA4700810,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",56.9777,24.0807,,,,,ERZ3455888,MGYS00005846
ERS2520888,BWA-19_1,SAMEA4700719,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-24.6119,25.9647,,,,,ERZ3455812,MGYS00005846
ERS2520912,CHE-67,SAMEA4700743,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",46.9722,7.4285,,,,,ERZ3455843,MGYS00005846
ERS2520935,ESP-75_4,SAMEA4700766,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.4098,2.2228,,,,,ERZ3455851,MGYS00005846
ERS2520947,GMB-10,SAMEA4700778,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",13.4581,-16.5831,,,,,ERZ3455868,MGYS00005846
ERS2520941,FIN-25,SAMEA4700772,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",60.2254,24.994,,,,,ERZ3455872,MGYS00005846
ERS2520967,ISR-29_2,SAMEA4700798,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",31.7577,35.1002,,,,,ERZ3455880,MGYS00005846
ERS2520863,ALB-17,SAMEA4700694,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.3404,19.7716,,,,,ERZ3455807,MGYS00005846
ERS2520895,CAN-22a_2,SAMEA4700726,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",51.0131,-114.0246,,,,,ERZ3455823,MGYS00005846
ERS2520914,CIV-13_1,SAMEA4700745,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",5.3405,-4.0156,,,,,ERZ3455836,MGYS00005846
ERS2520986,MKD-62_2,SAMEA4700817,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.9906,21.4758,,,,,ERZ3455892,MGYS00005846
ERS2520862,ALB-17_2,SAMEA4700693,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.3404,19.7716,,,,,ERZ3455799,MGYS00005846
ERS2520886,BRA-53a,SAMEA4700717,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-1.3567,-48.4454,,,,,ERZ3455835,MGYS00005846
ERS2520917,COL-2,SAMEA4700748,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",4.5448,-74.2583,,,,,ERZ3455845,MGYS00005846
ERS2520923,DEU-27_3,SAMEA4700754,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",52.5316,13.2322,,,,,ERZ3455850,MGYS00005846
ERS2520931,ECU-14,SAMEA4700762,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-0.2092,-78.4767,,,,,ERZ3455857,MGYS00005846
ERS2520944,GEO-59_3,SAMEA4700775,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.8704,45.2696,,,,,ERZ3455865,MGYS00005846
ERS2520945,GEO-59,SAMEA4700776,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.8704,45.2696,,,,,ERZ3455871,MGYS00005846
ERS2520957,IRL-69_1,SAMEA4700788,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",53.2633,-9.0566,,,,,ERZ3455877,MGYS00005846
ERS2520962,IRN-12,SAMEA4700793,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",35.5679,51.4393,,,,,ERZ3455882,MGYS00005846
ERS2520965,ISL-28,SAMEA4700796,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",64.1555,-21.8727,,,,,ERZ3455887,MGYS00005846
ERS2520936,ESP-75_5,SAMEA4700767,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.4098,2.2228,,,,,ERZ3455858,MGYS00005846
ERS2520870,AUS-18a_3,SAMEA4700701,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-37.9768,144.6383,,,,,ERZ3455791,MGYS00005846
ERS2520875,AUT-70_2,SAMEA4700706,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",48.174,16.4632,,,,,ERZ3455801,MGYS00005846
ERS2520892,CAN-22_1,SAMEA4700723,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",50.4708,-104.7444,,,,,ERZ3455813,MGYS00005846
ERS2520934,ESP-75_3,SAMEA4700765,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.4098,2.2228,,,,,ERZ3455852,MGYS00005846
ERS2520950,HRV-68_3,SAMEA4700781,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",45.7876,16.0792,,,,,ERZ3455870,MGYS00005846
ERS2520918,CZE-23_1,SAMEA4700749,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",50.1138,14.4001,,,,,ERZ3455838,MGYS00005846
ERS2520915,CIV-13_2,SAMEA4700746,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",5.3405,-4.0156,,,,,ERZ3455844,MGYS00005846
ERS2520943,GEO-59_2,SAMEA4700774,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.8704,45.2696,,,,,ERZ3455860,MGYS00005846
ERS2520954,IND-11_1,SAMEA4700785,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",9.9715,76.3051,,,,,ERZ3455873,MGYS00005846
ERS2520966,ISR-29_1,SAMEA4700797,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",31.7577,35.1002,,,,,ERZ3455881,MGYS00005846
ERS2520976,LKA-40,SAMEA4700807,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",6.9624,79.8742,,,,,ERZ3455891,MGYS00005846
ERS2520984,MDA-65,SAMEA4700815,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",47.0,29.0,,,,,ERZ3455896,MGYS00005846
ERS2520904,CAN-22c,SAMEA4700735,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",45.462,-75.5909,,,,,ERZ3455847,MGYS00005846
ERS2520955,IND-11_2,SAMEA4700786,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",9.9715,76.3051,,,,,ERZ3455885,MGYS00005846
ERS2520865,AUS-18_2,SAMEA4700696,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-35.2464,148.9698,,,,,ERZ3455792,MGYS00005846
ERS2520921,DEU-27_1,SAMEA4700752,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",52.5316,13.2322,,,,,ERZ3455841,MGYS00005846
ERS2520958,IRL-69_2,SAMEA4700789,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",53.2633,-9.0566,,,,,ERZ3455874,MGYS00005846
ERS2520963,ISL-28_1,SAMEA4700794,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",64.1555,-21.8727,,,,,ERZ3455875,MGYS00005846
ERS2520983,MDA-65_2,SAMEA4700814,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",47.0,29.0,,,,,ERZ3455889,MGYS00005846
ERS2520956,IND-11,SAMEA4700787,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",9.9715,76.3051,,,,,ERZ3455900,MGYS00005846
ERS2520887,BRA-53,SAMEA4700718,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-19.8957,-43.8791,,,,,ERZ3455820,MGYS00005846
ERS2520906,CHE-67_1,SAMEA4700737,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",46.9722,7.4285,,,,,ERZ3455828,MGYS00005846
ERS2520913,CHN-64,SAMEA4700744,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",23.1114,113.352,,,,,ERZ3455861,MGYS00005846
ERS2520940,FIN-25_2,SAMEA4700771,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",60.2254,24.994,,,,,ERZ3455864,MGYS00005846
ERS2520971,KEN-72_1,SAMEA4700802,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-1.2455,37.0161,,,,,ERZ3455886,MGYS00005846
ERS2520985,MKD-62_1,SAMEA4700816,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.9906,21.4758,,,,,ERZ3455894,MGYS00005846
ERS2520987,MKD-62_3,SAMEA4700818,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.9906,21.4758,,,,,ERZ3455895,MGYS00005846
ERS2520916,CIV-13,SAMEA4700747,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",5.3405,-4.0156,,,,,ERZ3455846,MGYS00005846
ERS2520932,ESP-75_1,SAMEA4700763,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.4098,2.2228,,,,,ERZ3455856,MGYS00005846
ERS2520975,KHM-21,SAMEA4700806,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",11.5226,104.9026,,,,,ERZ3455899,MGYS00005846
ERS2520973,KEN-72_3,SAMEA4700804,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-1.2455,37.0161,,,,,ERZ3455879,MGYS00005846
ERS2520868,AUS-18a_1,SAMEA4700699,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-37.9768,144.6383,,,,,ERZ3455793,MGYS00005846
ERS2520880,BGR-66_3,SAMEA4700711,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",42.7507,23.3648,,,,,ERZ3455819,MGYS00005846
ERS2520925,DEU-27,SAMEA4700756,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",52.5316,13.2322,,,,,ERZ3455848,MGYS00005846
ERS2520930,ECU-14a,SAMEA4700761,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-0.9079,-89.603,,,,,ERZ3455853,MGYS00005846
ERS2520964,ISL-28_2,SAMEA4700795,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",64.1555,-21.8727,,,,,ERZ3455878,MGYS00005846
ERS2520882,BRA-53_1,SAMEA4700713,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-19.8957,-43.8791,,,,,ERZ3455804,MGYS00005846
ERS2520884,BRA-53a_1,SAMEA4700715,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-1.3567,-48.4454,,,,,ERZ3455829,MGYS00005846
ERS2520909,CHE-67_4,SAMEA4700740,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",46.9722,7.4285,,,,,ERZ3455833,MGYS00005846
ERS2520922,DEU-27_2,SAMEA4700753,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",52.5316,13.2322,,,,,ERZ3455840,MGYS00005846
ERS2520953,HUN-61,SAMEA4700784,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",47.5696,19.0746,,,,,ERZ3455869,MGYS00005846
ERS2520972,KEN-72_2,SAMEA4700803,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",-1.2455,37.0161,,,,,ERZ3455883,MGYS00005846
ERS2520970,KAZ-6,SAMEA4700801,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",43.4039,76.8892,,,,,ERZ3455893,MGYS00005846
ERS2520877,AUT-70,SAMEA4700708,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",48.174,16.4632,,,,,ERZ3455808,MGYS00005846
ERS2520981,LVA-31,SAMEA4700812,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",56.9777,24.0807,,,,,ERZ3455890,MGYS00005846
ERS2520988,MKD-62,SAMEA4700819,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",41.9906,21.4758,,,,,ERZ3455897,MGYS00005846
ERS2520927,DNK-71_RD,SAMEA4700758,"This sample has been submitted by Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark on 2018-05-31; wastewater metagenome",55.6405,12.5058,,,,,ERZ3455866,MGYS00005846
