#SampleID	ERR2088984	ERR2088985	ERR2088986	ERR2088987	ERR2088988	ERR2088989	ERR2088990	ERR2088991	ERR2088992	ERR2088993	ERR2088994	ERR2088995	ERR2729815	ERR2729816	ERR2729817	ERR2729818	ERR2729819	ERR2729820	ERR2729821	ERR2729822	ERR2729823	ERR2729824	ERR2729825	ERR2729826	ERR2729827	ERR2729828	ERR2729829	ERR2729830	ERR2729831	ERR2729832	ERR2729833	ERR2729834	ERR2729835	ERR2729836	ERR2729837	ERR2729838	ERR2729839	ERR2729840	ERR2729841	ERR2729842	ERR2729843	ERR2729844	ERR2729845	ERR2729846	ERR2729847	ERR2729848	ERR2729849	ERR2729850	ERR2729851	ERR2729852	ERR2729853	ERR2729854	ERR2729855	ERR2729856	ERR2729857	ERR2729858	ERR2729859	ERR2729860	ERR2729861	ERR2729862	ERR2729863	ERR2729864	ERR2729865	ERR2729866	ERR2729867	ERR2729868	ERR2729869	ERR2729870	ERR2729871	ERR2729872	ERR2729873	ERR2729874	ERR2729875	ERR2729876	ERR2729877	ERR2729878	ERR2729879	ERR2729880	ERR2729881	ERR2729882	ERR2729883	ERR2729884	ERR2729885	ERR2729886	ERR2729887	ERR2729888	ERR2729889	ERR2729890	ERR2729891	ERR2729892	ERR2729893	ERR2729894	ERR2729895	ERR2729896	ERR2729897	ERR2729898	ERR2729899	ERR2729900	ERR2729901	ERR2729902	ERR2729903	ERR2729904	ERR2729905	ERR2729906	ERR2729907	ERR2729908	ERR2729909	ERR2729910	ERR2729911	ERR2729912	ERR2729913	ERR2729914	ERR2729915	ERR2729916	ERR2729917	ERR2729918	ERR2729919	ERR2729920	ERR2729921	ERR2729922	ERR2729923	ERR2729924	ERR2729925	ERR2729926	ERR2729927	ERR2729928	ERR2729929	ERR2729930	ERR2729931	ERR2729932	ERR2729933	ERR2729934	ERR2729935	ERR2729936	ERR2729937	ERR2729938	ERR2729939	ERR2729940	ERR2729941	ERR2729942	ERR2729943	ERR2729944	ERR2729945	ERR2729946	ERR2729947	ERR2729948	ERR2729949	ERR2729950	ERR2729951	ERR2729952	ERR2729953	ERR2729954	ERR2729955	ERR2729956	ERR2729957	ERR2729958	ERR2729959	ERR2729960	ERR2729961	ERR2729962	ERR2729963	ERR2729964	ERR2729965	ERR2729966	ERR2729967	ERR2729968	ERR2729969	ERR2729970	ERR2729971	ERR2729972
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	2.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanosphaerula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	7.0	0	10.0	1.0	7.0	0	2.0	1.0	3.0	0	0	1.0	5.0	4.0	4.0	0	4.0	0	6.0	2.0	10.0	0	5.0	0	13.0	1.0	5.0	1.0	6.0	0	10.0	0	14.0	1.0	5.0	0	34.0	0	24.0	0	23.0	0	4.0	0	3.0	0	2.0	0	6.0	0	2.0	0	10.0	0	9.0	0	9.0	0	17.0	1.0	35.0	0	32.0	0	20.0	1.0	14.0	0	21.0	0	24.0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_hungatei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_psychrodurum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	1.0	3.0	1.0	3.0	0	0	1.0	0	0	1.0	0	1.0	0	0	0	2.0	0	1.0	0	3.0	0	2.0	0	1.0	0	1.0	0	3.0	0	6.0	0	13.0	0	12.0	0	9.0	0	5.0	0	17.0	0	2.0	0	1.0	0	2.0	0	1.0	0	2.0	0	4.0	0	2.0	0	3.0	0	6.0	1.0	17.0	0	10.0	0	10.0	0	10.0	0	17.0	0	7.0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	5.0	1.0	2.0	0	11.0	0	1.0	0	0	2.0	0	0	2.0	1.0	0	0	0	0	3.0	0	0	0	2.0	0	0	0	2.0	0	3.0	7.0	2.0	3.0	6.0	2.0	7.0	8.0	3.0	5.0	2.0	7.0	4.0	0	5.0	2.0	3.0	2.0	1.0	2.0	1.0	0	4.0	0	5.0	2.0	12.0	2.0	10.0	3.0	11.0	2.0	7.0	2.0	15.0	4.0	18.0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	2.0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	3.0	0	0	0	0	1.0	0	0	1.0	0	1.0	1.0	1.0	0	1.0	3.0	1.0	3.0	0	0	0	1.0	3.0	0	0	1.0	0	1.0	1.0	1.0	0	0	0	1.0	1.0	1.0	2.0	3.0	0	2.0	2.0	2.0	0	1.0	0	1.0	0	1.0	1.0	3.0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	2.0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	3.0	0	1.0	0	2.0	0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermococci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	1.0	0	2.0	1.0	1.0	1.0	1.0	0	0	1.0	1.0	0	1.0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	2.0	0	2.0	0	0	0	4.0	0	5.0	0	7.0	0	0	0	2.0	0	1.0	0	1.0	0	4.0	0	0	0	0	0	2.0	0	2.0	0	8.0	0	4.0	0	3.0	0	0	0	3.0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	2.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
