kingdom	phylum	ERR1356692	ERR1356693	ERR1356694	ERR1356695	ERR1356696	ERR1356697	ERR1356698	ERR1356699	ERR1356700	ERR1356701	ERR1356702	ERR1356703	ERR1356704	ERR1356705	ERR1356706	ERR1356707	ERR1356708	ERR1356709	ERR1356710	ERR1356711	ERR1356712	ERR1356713	ERR1356714	ERR1356715	ERR1356716	ERR1356717	ERR1356718	ERR1356719	ERR1356720	ERR1356721	ERR1356722	ERR1356723	ERR1356724	ERR1356725	ERR1356726	ERR1356727	ERR1356728	ERR1356729	ERR1356730	ERR1356731	ERR1356732	ERR1356733	ERR1356734	ERR1356735	ERR1356736	ERR1356737	ERR1356738	ERR1356739	ERR1356740	ERR1356741	ERR1356742	ERR1356743	ERR1356744	ERR1356745	ERR1356746	ERR1356747	ERR1356748	ERR1356749	ERR1356750	ERR1356751	ERR1356752	ERR1356753	ERR1356754	ERR1356755	ERR1356756	ERR1356757	ERR1356758	ERR1356759	ERR1356760	ERR1356761	ERR1356762	ERR1356763
Bacteria	OP1	0	7	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	5	0	0	0	0
Bacteria	OP11	0	61	9	8	20	32	24	45	1	1	24	8	10	6	19	9	1	0	32	29	0	0	6	10	12	7	7	2	0	2	80	26	37	39	1	0	7	1	1	0	6	4	3	0	0	0	7	10	4	1	4	8	0	0	6	5	4	6	4	5	4	5	7	19	28	15	2	9	0	0	14	13
Bacteria	OP3	0	91	1	16	20	39	11	60	9	2	3	1	25	10	21	4	5	0	0	2	17	8	2	0	16	7	100	17	6	0	5	1	87	61	6	0	8	1	1	0	0	0	0	0	40	24	9	10	13	21	1	0	0	0	2	6	3	5	17	19	8	2	6	31	42	56	2	3	1	2	9	27
Bacteria	OP8	1	220	0	0	0	0	0	220	1	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	132	217	0	1	0	0	0	0
Bacteria	OP9	1	17	0	0	0	2	0	16	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	17	16	0	0	0	0	0	0
Bacteria	PAUC34f	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Planctomycetes	116	1177	220	324	167	474	52	808	77	45	232	57	204	185	167	64	166	48	209	162	427	138	631	259	244	100	781	91	201	159	243	99	141	180	40	67	672	116	149	80	185	698	83	40	560	344	264	250	194	132	125	255	21	16	375	460	269	148	161	112	151	58	163	460	322	269	87	518	5	38	82	141
Bacteria	Proteobacteria	1946	2046108	8755	754097	3632	642434	3090	1001986	3427	405872	10793	246840	5155	168004	2943	147990	3829	239738	5127	270243	2727	385169	3012	194531	2712	372276	7821	156611	3768	410493	5604	130994	3300	158932	2648	245440	9123	122804	4917	434697	3378	947911	6096	408280	2374	123366	3066	134619	3992	170114	3855	373011	3852	144264	8380	278516	3524	183818	4143	191467	3849	193430	3817	235826	2531	386829	4424	295352	9138	194954	3627	249566
Bacteria	SAR406	0	132	0	1	0	1	1	130	1	0	0	0	0	1	0	0	2	2	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	99	128	0	2	0	0	0	0
Bacteria	SBR1093	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	31	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	SR1	0	54	19	8	1	4	15	24	1	0	19	2	1	3	12	4	2	4	0	2	31	7	7	5	2	8	18	6	2	0	1	4	6	8	0	0	10	0	2	0	4	0	3	0	1	0	0	1	5	3	0	1	21	7	49	52	7	0	9	0	8	2	2	5	0	0	5	19	57	26	11	4
Bacteria	Spirochaetes	198	2362	582	424	72	576	302	1928	535	204	483	120	205	431	202	131	114	34	22	36	11	13	10	6	210	158	155	36	19	83	51	29	26	47	34	42	446	61	78	72	115	99	193	104	35	37	70	75	230	442	20	17	5	2	282	161	213	215	108	112	98	22	77	245	508	1234	80	537	12	11	74	170
Bacteria	Synergistetes	2	389	6	7	0	2	3	386	2	1	2	0	3	4	0	0	0	3	4	5	0	0	1	1	2	0	0	0	4	7	0	0	0	0	0	2	3	0	3	1	1	3	1	3	0	0	0	0	1	0	1	3	3	0	1	0	0	0	2	0	4	1	1	2	263	380	6	7	0	0	2	4
Bacteria	TA06	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
Bacteria	TM6	0	28	3	10	15	7	2	23	5	1	3	1	2	2	3	4	2	0	0	0	1	0	6	10	1	4	5	0	41	10	6	4	0	2	0	0	12	0	1	1	4	4	4	2	1	4	2	0	1	2	1	1	0	0	57	16	2	0	3	2	1	0	9	3	2	6	1	16	0	1	6	2
Bacteria	TM7	22	245	549	144	100	225	291	150	133	32	378	76	120	72	143	48	111	12	2	2	25	3	590	316	83	45	216	32	120	34	443	149	92	47	189	83	368	49	217	54	102	42	70	12	57	40	84	78	218	78	151	79	43	11	350	147	67	29	69	16	80	28	50	47	34	30	58	78	39	14	99	37
Bacteria	TPD-58	0	9	0	2	0	4	0	8	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	2	1	0	0	1	0	0	1	0	1	0	0	8	2	0	0	1
Bacteria	Tenericutes	6	63	20	21	2	17	4	32	9	7	25	9	3	0	7	6	3	6	76	26	0	10	10	14	6	5	11	5	2	6	2	3	6	4	10	11	17	6	9	9	4	18	6	3	2	0	8	7	8	5	5	10	13	2	6	4	5	3	4	1	3	4	8	8	0	6	10	18	10	3	5	12
Bacteria	Thermi	0	129	4	52	0	75	0	61	0	4	2	53	0	7	1	16	0	7	106	88	0	261	33	74	6	356	1	19	0	22	2	267	0	1	0	74	0	1	2	12	0	14	1	11	1	30	0	1	0	6	0	7	0	6	2	10	0	6	0	29	0	89	0	478	0	28	1	15	0	36	0	15
Bacteria	Thermotogae	0	643	16	4	0	16	0	644	2	4	0	0	0	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	6	16	0	0	0	0	3	0	0	0	1	0	4	2	0	0	320	644	1	2	0	0	1	0
Bacteria	Unassigned	0	100	0	4	0	3	0	99	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	2	0	1	1	3	0	0	1	1	0	1	4	0	0	1	0	1	0	0	0	0	0	1	0	2	0	2	0	1	1	0	0	2	0	0	0	3	0	1	62	97	0	3	0	0	1	1
Bacteria	Verrucomicrobia	63	1592	460	246	224	237	152	1211	171	50	512	68	164	205	111	37	140	28	49	20	338	172	65	34	90	66	227	36	94	94	199	102	177	207	64	139	464	40	147	63	163	264	127	46	178	104	78	56	113	99	76	231	34	67	264	238	112	55	131	101	130	23	84	277	430	590	139	580	56	47	132	237
Bacteria	WPS-2	0	108	30	41	6	61	5	75	5	10	2	2	6	9	6	6	11	10	2	7	10	11	45	36	1	11	13	11	4	13	15	11	4	16	0	5	11	1	17	40	5	9	4	2	2	20	0	5	24	48	9	60	0	4	11	19	4	5	5	13	9	2	10	53	2	10	2	46	3	1	5	15
Bacteria	WS1	0	55	0	0	0	2	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	84	54	1	0	0	0	0	1
Bacteria	WS2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	WS3	0	93	1	82	27	92	8	51	9	11	10	3	27	27	44	23	18	1	0	0	0	0	0	0	20	12	48	12	36	65	10	7	49	31	1	1	61	5	0	1	18	16	1	0	53	35	12	13	41	64	4	20	0	0	31	51	7	15	13	11	4	3	8	50	7	16	0	31	0	0	20	30
Bacteria	WS4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria	WS6	0	298	4	0	0	1	2	301	0	0	1	2	0	0	0	0	1	0	0	3	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	3	0	0	0	2	0	8	0	0	0	0	0	6	1	0	0	0	0	4	0	2	0	2	0	5	0	0	0	274	293	12	2	0	0	1	1
Bacteria	WWE1	2	89	3	3	0	3	3	89	9	1	0	0	1	2	5	1	3	0	2	0	0	0	6	3	2	0	0	0	1	2	2	0	1	2	5	0	8	0	0	0	9	0	35	4	0	0	0	0	10	2	0	0	0	0	5	2	3	1	5	0	1	0	2	4	35	79	13	9	0	0	6	0
Bacteria	ZB3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Unassigned	Unassigned	1912	371649	6623	227496	2734	167841	2761	142274	2345	129840	7352	101802	3242	187084	2323	24623	2540	121408	3715	30152	3199	50697	3044	21381	2154	42398	4967	17766	2271	63928	3779	33101	2258	53279	2192	93762	6477	48970	2193	101036	2403	99588	2833	63097	2796	71437	2083	21565	2421	96701	2418	82485	2063	36777	6350	80188	2431	34909	2627	176221	2338	75843	2660	61362	2983	19211	2451	70248	2990	46373	2950	68094
