kingdom,phylum,ERR1713331,ERR1713332,ERR1713333,ERR1725946,ERR1725947,ERR1713336,ERR1725950,ERR1713338,ERR1713339,ERR1725955,ERR1713341,ERR1713342,ERR1725961,ERR1713344,ERR1713345,ERR1713346,ERR1713347,ERR1713348,ERR1713349,ERR1713350,ERR1713351,ERR1713352,ERR1713353,ERR1725970,ERR1713355,ERR1713356,ERR1713357,ERR1713358,ERR1713359,ERR1713360,ERR1713361,ERR1725978,ERR1725979,ERR1713364,ERR1713365,ERR1725984,ERR1713367,ERR1713368,ERR1713369,ERR1713370,ERR1713371,ERR1713372,ERR1713373,ERR1725989,ERR1725990,ERR1725993,ERR1725994,ERR1713378,ERR1725998,ERR1725999,ERR1713381,ERR1713382,ERR1726000,ERR1713384,ERR1713385,ERR1713386,ERR1713387,ERR1713388,ERR1726003,ERR1713390,ERR1713391,ERR1726006,ERR1713393,ERR1713394,ERR1713395,ERR1713396,ERR1713397,ERR1713398,ERR1726012,ERR1713400,ERR1713401,ERR1713402,ERR1726021,ERR1726024,ERR1713405,ERR1713406,ERR1713407,ERR1713408,ERR1726030,ERR1726031,ERR1726032
Bacteria,Chlamydiae,2,2,1,1,1,2,16,2,0,0,4,1,2,11,1,3,3,0,15,1,1,0,4,0,0,1,1,0,1,0,0,1,1,0,1,5,4,1,0,5,1,0,0,0,0,1,3,3,5,0,1,2,0,4,0,4,7,2,1,2,0,4,0,3,0,0,15,1,14,4,0,0,3,0,7,2,1,0,0,0,2
Bacteria,Chlorobi,1,14,3,0,2,2,39,31,0,1,1,14,59,103,15,4,34,3,20,6,21,3,2,15,9,7,1,30,2,2,4,10,1,3,11,4,80,7,6,214,7,8,1,0,1,0,3,6,147,4,5,4,0,10,3,2,87,0,7,11,8,2,0,75,0,2,3,1,32,6,5,1,0,0,14,37,17,1,0,1,1
Bacteria,Chloroflexi,35,13,14,0,29,8,234,256,5,74,18,608,63,422,455,49,102,18,134,75,38,8,35,144,73,48,4,4826,95,24,71,23,10,10,39,7,330,56,132,1097,43,25,17,15,16,8,22,268,584,19,300,20,47,112,19,68,548,20,12,656,24,22,1,75,26,7,109,120,292,27,62,22,266,16,58,180,28,7,0,3,15
Bacteria,Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Cyanobacteria,145,5,7,2,9,19,130,12,3,0,11,33,0,109,34,155,12,12,21,16,2,2,311,8,96,8,3,23,2,2,5,119,16,20,4,14,31,15,80,50,10,50,12,26,11,10,20,155,28,4,113,4,2,107,202,86,7,21,35,36,2,8,1,42,5,21,69,13,18,12,67,19,4,4,52,11,19,307,3,25,68
Bacteria,Deferribacteres,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
Bacteria,Dictyoglomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Elusimicrobia,7,0,0,0,1,0,61,1,0,0,1,0,1,17,2,70,3,0,2,5,1,0,12,2,5,0,0,4,2,1,0,23,0,0,6,0,11,2,1,1,12,1,0,0,3,0,1,3,4,0,1,0,0,16,13,4,1,0,1,0,0,0,0,0,0,15,7,0,2,0,1,0,0,0,6,0,0,3,0,0,11
Bacteria,Fibrobacteres,5,0,0,0,1,0,18,6,3,0,3,6,0,22,2,1,0,0,1,2,2,0,16,4,1,0,0,0,0,4,3,5,2,4,1,1,28,3,3,4,2,3,0,0,11,0,1,6,31,0,6,0,0,14,6,1,1,0,7,3,2,0,0,0,0,0,9,1,1,1,3,0,0,0,81,5,0,9,0,0,3
Bacteria,Firmicutes,13756,2344,5728,6752,5148,9408,16832,7679,2215,1533,16479,23906,6516,5531,17972,16092,12991,5421,21389,39899,4835,1720,7098,11625,34655,19357,1144,5821,4025,6882,1576,10337,7330,7522,5750,10616,7166,20012,21697,16931,7702,17888,8924,6893,12629,4053,8027,13513,2958,3442,67559,8303,2693,42439,16243,13544,4783,18117,6835,38514,5270,5700,637,26793,1533,3283,13625,15026,6512,19033,24692,16595,2269,2447,31342,13434,1954,29896,2083,3845,11002
Bacteria,Fusobacteria,4136,545,691,359,636,825,133,442,672,570,6428,10363,897,594,298,310,26202,1219,6864,12710,541,1847,111,1290,18586,4097,100,90,57,2928,126,238,448,1936,567,740,2197,5815,1543,138,89,833,1003,2044,3893,1372,147,176,604,317,397,1783,288,1089,1903,446,196,1174,653,1460,451,251,16,63,345,45,3871,1099,1074,2329,4162,1694,226,181,16286,1432,75,2197,472,154,1633
Bacteria,Gemmatimonadetes,9,4,3,0,7,8,13,1,1,0,2,3,2,37,11,1,8,4,5,8,2,3,0,3,7,6,1,5,3,1,0,1,2,4,2,2,13,2,10,8,12,5,1,4,0,1,1,2,19,3,12,7,0,4,9,15,7,8,7,14,1,3,1,5,3,0,15,9,16,9,6,3,3,0,10,5,3,19,0,1,3
Bacteria,Lentisphaerae,8,1,1,0,8,0,58,2,0,0,17,4,2,6,0,6,2,0,5,6,1,0,5,0,5,7,0,3,0,2,1,10,0,3,0,0,8,5,3,2,4,2,1,0,1,17,0,11,46,0,3,0,1,9,20,4,1,3,0,14,1,0,1,32,0,20,0,3,11,1,8,0,0,0,39,1,0,1,0,0,12
Bacteria,Nitrospirae,1,1,0,0,1,0,12,2,0,0,0,0,13,250,5,2,22,0,0,0,2,0,1,1,0,0,0,4,1,0,1,1,0,0,0,1,84,2,2,9,0,2,2,0,2,0,1,2,59,22,1,0,0,1,0,1,4,0,1,3,0,0,0,0,0,0,96,2,18,1,0,0,0,0,0,1,0,1,0,0,0
Bacteria,Planctomycetes,13,38,15,6,30,14,54,54,3,15,8,17,30,324,40,22,86,14,41,62,10,25,21,256,80,48,2,133,9,29,13,6,8,56,11,29,196,47,33,102,5,109,14,16,27,246,5,59,91,11,24,9,10,79,93,24,47,76,21,43,16,9,0,8,6,4,215,11,48,40,15,32,5,5,107,216,5,30,7,9,14
Bacteria,Proteobacteria,81109,27543,5505,9745,45739,33471,36086,17032,2629,2638,15852,33912,15280,31086,32975,7801,44516,7553,51897,65166,5465,90518,6526,29298,56712,22476,53683,12397,165653,25076,1917,8642,36184,25597,61910,7754,79595,71396,35270,34109,172778,60672,10154,40296,28598,30007,9702,13681,10882,25687,7793,129952,1611,28968,26562,247082,16387,33095,15152,18227,7343,23234,18674,54202,75744,6646,23830,25078,10738,20869,20558,21401,3334,2852,55762,32405,163024,51975,2170,3521,19565
Bacteria,Spirochaetes,22,5,6,2,15,10,340,12,2,2,12,33,5,561,27,28,11,1,89,19,4,3,31,29,31,8,0,44,6,17,96,129,2,20,20,9,112,32,59,67,6,19,18,6,11,7,7,21,707,11,47,5,4,310,79,22,129,4,9,88,7,0,0,2821,4,103,70,65,95,29,15,20,7,5,92,41,7,20,1,8,43
Bacteria,Synergistetes,52,21,35,6,11,48,608,408,30,124,135,182,20,183,416,626,136,73,72,50,2,37,164,322,345,66,15,929,70,47,65,87,20,71,9,25,116,115,374,2695,33,48,84,16,64,324,55,948,535,7,113,34,89,934,103,275,313,51,112,460,51,10,3,3401,23,10,87,73,601,278,62,130,97,23,601,306,231,24,16,57,189
Bacteria,Tenericutes,239,25,40,71,43,72,405,55,26,10,84,159,106,72,243,108,90,73,241,612,49,42,92,89,473,142,20,35,148,65,54,98,94,97,29,174,62,181,264,50,75,145,125,135,145,108,24,144,235,25,1113,51,56,545,417,168,65,217,47,386,91,57,2,23267,28,31,400,98,45,101,109,56,12,19,188,123,29,267,31,37,165
Bacteria,Thermi,4,0,0,0,0,0,0,0,0,0,1,16,2,4,2,0,0,1,9,2,4,0,0,4,1,3,0,4,2,1,0,0,0,0,16,0,0,11,0,0,1,1,2,0,0,1,0,0,0,2,3,0,0,3,0,1,0,0,7,0,1,2,0,0,0,3,10,1,0,2,3,0,0,0,2,0,0,0,0,0,0
Bacteria,Thermotogae,0,4,0,0,0,0,0,0,2,3,0,4,0,0,9,3,19,2,11,0,0,0,1,0,2,0,0,3,2,0,7,2,0,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,156,0,0,0,3,0,3,4,2,0,0,2505,0,0,0,2,9,0,0,1,9,2,3,2,0,0,7,1,0,0,0,0,0
Bacteria,Verrucomicrobia,120,48,35,74,60,93,726,327,54,152,235,369,176,378,452,3476,193,132,323,518,52,27,809,904,202,243,13,1017,287,106,55,95,118,151,36,483,562,195,428,1783,87,236,119,62,212,217,66,936,528,42,131,64,50,817,157,161,487,272,157,604,119,103,2,390,22,13,249,252,778,340,246,275,328,55,695,990,47,68,57,84,264
